"final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","id1"
1,13.0,0.0,0.0,38.0,0.0,0.0,0.0,48.0,40.0,0.0,0.0,14.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,63.0,4.0,0.0,0.0,0.0,118.0,0.0,6.0,3.0,0.0,0.0,149.0,0.0,0.0,0.0,83.0,33.0,0.0,0.0,1.0,0.0,0
1,7.0,25.0,6.0,1.0,10.0,16.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,12.0,14.0,45.0,23.0,40.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,71.0,96.0,3.0,117.0,83.0,218.0,303.0,1.0,18.0,23.0,5.0,0.0,4.0,10.0,112.0,0.0,4.0,23.0,0.0,86.0,1.0,125.0,46.0,53.0,0.0,15.0,40.0,33.0,17.0,72.0,35.0,0.0,0.0,0.0,59.0,3.0,3.0,5.0,4.0,0.0,2
1,117.0,21.0,36.0,3.0,1.0,24.0,120.0,0.0,50.0,54.0,0.0,23.0,47.0,35.0,106.0,91.0,35.0,12.0,73.0,12.0,204.0,92.0,102.0,23.0,71.0,99.0,12.0,225.0,149.0,4.0,19.0,17.0,67.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,3
0,2.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,52.0,60.0,32.0,7.0,41.0,11.0,53.0,19.0,11.0,10.0,22.0,29.0,13.0,0.0,14.0,11.0,18.0,0.0,36.0,13.0,24.0,4.0,6.0,51.0,17.0,15.0,0.0,21.0,5.0,1.0,5.0,11.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,5
1,27.0,44.0,34.0,26.0,26.0,26.0,13.0,16.0,32.0,75.0,0.0,0.0,0.0,8.0,21.0,10.0,16.0,6.0,8.0,35.0,0.0,0.0,0.0,13.0,55.0,0.0,1.0,13.0,0.0,13.0,11.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,6
1,0.0,0.0,20.0,58.0,0.0,16.0,0.0,132.0,0.0,0.0,0.0,0.0,43.0,7.0,0.0,43.0,0.0,0.0,21.0,32.0,0.0,15.0,0.0,39.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,27.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1,169.0,130.0,138.0,193.0,154.0,54.0,155.0,103.0,292.0,3.0,48.0,32.0,14.0,2.0,39.0,83.0,17.0,21.0,3.0,2.0,32.0,3.0,13.0,9.0,51.0,10.0,4.0,0.0,67.0,9.0,48.0,12.0,0.0,0.0,7.0,50.0,10.0,0.0,8.0,0.0,8
0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,40.0,31.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9
1,89.0,151.0,95.0,25.0,33.0,100.0,20.0,30.0,31.0,51.0,10.0,24.0,0.0,40.0,31.0,17.0,20.0,45.0,41.0,27.0,18.0,0.0,26.0,25.0,57.0,0.0,0.0,0.0,0.0,16.0,74.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10
1,0.0,107.0,36.0,16.0,12.0,47.0,7.0,0.0,101.0,27.0,11.0,1.0,12.0,44.0,0.0,0.0,31.0,9.0,19.0,3.0,40.0,0.0,5.0,13.0,0.0,14.0,0.0,0.0,7.0,69.0,2.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11
1,0.0,0.0,0.0,217.0,121.0,134.0,177.0,340.0,36.0,111.0,139.0,0.0,29.0,278.0,87.0,79.0,19.0,224.0,77.0,56.0,73.0,193.0,170.0,27.0,157.0,38.0,45.0,122.0,302.0,235.0,233.0,202.0,275.0,109.0,139.0,62.0,9.0,46.0,7.0,0.0,12
0,231.0,23.0,21.0,34.0,34.0,29.0,7.0,20.0,28.0,8.0,21.0,0.0,0.0,6.0,1.0,0.0,5.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0,19.0,149.0,166.0,200.0,128.0,80.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
1,0.0,10.0,33.0,48.0,13.0,9.0,46.0,65.0,18.0,10.0,0.0,0.0,0.0,3.0,7.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,1.0,7.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,15
0,12.0,126.0,0.0,74.0,0.0,45.0,53.0,87.0,220.0,18.0,24.0,55.0,64.0,165.0,90.0,65.0,37.0,66.0,108.0,11.0,34.0,110.0,7.0,45.0,25.0,1.0,31.0,3.0,38.0,60.0,15.0,180.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16
1,20.0,36.0,31.0,61.0,73.0,53.0,0.0,5.0,59.0,16.0,0.0,1.0,0.0,65.0,0.0,0.0,68.0,100.0,16.0,182.0,34.0,51.0,32.0,1.0,23.0,0.0,0.0,29.0,29.0,78.0,0.0,0.0,1.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,17
1,0.0,29.0,19.0,10.0,11.0,45.0,33.0,6.0,0.0,3.0,40.0,0.0,0.0,0.0,18.0,0.0,22.0,0.0,9.0,14.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
0,34.0,117.0,18.0,21.0,37.0,24.0,27.0,5.0,122.0,34.0,1.0,29.0,0.0,0.0,2.0,9.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
1,58.0,55.0,180.0,171.0,0.0,152.0,34.0,5.0,63.0,59.0,8.0,0.0,0.0,41.0,0.0,0.0,110.0,471.0,167.0,43.0,98.0,19.0,0.0,111.0,175.0,257.0,82.0,6.0,0.0,44.0,4.0,1.0,147.0,57.0,486.0,1.0,0.0,2.0,0.0,0.0,20
1,29.0,18.0,38.0,23.0,38.0,7.0,2.0,0.0,40.0,6.0,0.0,16.0,0.0,20.0,11.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,19.0,10.0,7.0,1.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21
1,0.0,31.0,49.0,12.0,96.0,24.0,10.0,40.0,2.0,31.0,0.0,0.0,0.0,35.0,4.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,5.0,0.0,31.0,0.0,9.0,0.0,42.0,0.0,6.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22
1,171.0,0.0,0.0,39.0,26.0,37.0,75.0,9.0,13.0,22.0,15.0,7.0,8.0,15.0,175.0,0.0,9.0,15.0,127.0,69.0,70.0,38.0,0.0,28.0,65.0,14.0,89.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
0,1466.0,287.0,63.0,52.0,427.0,861.0,643.0,840.0,654.0,253.0,79.0,239.0,270.0,282.0,236.0,354.0,193.0,173.0,66.0,186.0,148.0,116.0,112.0,51.0,67.0,40.0,22.0,22.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1,0.0,17.0,58.0,138.0,147.0,85.0,61.0,76.0,5.0,0.0,0.0,0.0,33.0,37.0,66.0,13.0,74.0,10.0,73.0,40.0,37.0,6.0,35.0,41.0,119.0,22.0,7.0,58.0,4.0,7.0,60.0,32.0,42.0,50.0,83.0,57.0,62.0,25.0,12.0,5.0,25
0,36.0,6.0,50.0,85.0,0.0,3.0,35.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,129.0,3.0,0.0,0.0,40.0,0.0,30.0,0.0,77.0,0.0,12.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
1,2.0,21.0,27.0,5.0,0.0,1.0,9.0,22.0,0.0,2.0,0.0,6.0,22.0,13.0,0.0,0.0,2.0,1.0,28.0,0.0,1.0,0.0,72.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,27
1,131.0,47.0,32.0,70.0,26.0,21.0,32.0,43.0,53.0,80.0,141.0,62.0,65.0,12.0,49.0,111.0,290.0,144.0,54.0,60.0,24.0,8.0,65.0,24.0,14.0,37.0,14.0,12.0,18.0,11.0,7.0,10.0,32.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,28
1,0.0,39.0,150.0,103.0,82.0,15.0,0.0,34.0,84.0,2.0,25.0,9.0,43.0,40.0,28.0,0.0,22.0,26.0,47.0,19.0,18.0,73.0,1.0,0.0,12.0,41.0,0.0,30.0,4.0,1.0,0.0,15.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,29
1,53.0,10.0,44.0,37.0,22.0,79.0,4.0,9.0,86.0,39.0,23.0,18.0,19.0,12.0,26.0,78.0,91.0,49.0,12.0,12.0,16.0,24.0,48.0,7.0,34.0,16.0,52.0,26.0,7.0,4.0,6.0,8.0,0.0,5.0,42.0,1.0,2.0,3.0,4.0,0.0,30
1,634.0,394.0,311.0,188.0,216.0,274.0,237.0,372.0,214.0,98.0,102.0,189.0,257.0,229.0,282.0,256.0,293.0,296.0,98.0,285.0,190.0,148.0,117.0,144.0,103.0,47.0,138.0,34.0,90.0,71.0,86.0,275.0,135.0,387.0,134.0,29.0,0.0,0.0,0.0,0.0,31
