"final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","id1"
1,13.0,38.0,88.0,14.0,126.0,67.0,124.0,152.0,83.0,34.0,0
1,7.0,42.0,22.0,7.0,101.0,46.0,14.0,62.0,0.0,0.0,1
0,71.0,333.0,510.0,38.0,139.0,247.0,119.0,157.0,62.0,12.0,2
1,117.0,72.0,211.0,131.0,244.0,483.0,193.0,409.0,138.0,0.0,3
0,2.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
1,52.0,140.0,98.0,70.0,43.0,77.0,89.0,32.0,27.0,0.0,5
1,27.0,138.0,127.0,35.0,53.0,43.0,69.0,37.0,11.0,61.0,6
1,0.0,78.0,148.0,49.0,44.0,68.0,39.0,15.0,78.0,0.0,7
1,169.0,642.0,579.0,97.0,160.0,44.0,79.0,128.0,53.0,34.0,8
0,0.0,11.0,24.0,0.0,13.0,16.0,72.0,20.0,5.0,0.0,9
1,89.0,306.0,215.0,89.0,113.0,86.0,108.0,90.0,16.0,0.0,10
1,0.0,195.0,131.0,95.0,40.0,62.0,32.0,78.0,40.0,0.0,11
1,0.0,472.0,648.0,316.0,555.0,551.0,273.0,904.0,787.0,62.0,12
0,231.0,141.0,63.0,27.0,6.0,19.0,28.0,25.0,10.0,0.0,13
0,19.0,643.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
1,0.0,104.0,148.0,3.0,62.0,24.0,73.0,17.0,32.0,0.0,15
0,12.0,200.0,405.0,311.0,279.0,264.0,78.0,140.0,225.0,0.0,16
1,20.0,201.0,117.0,82.0,168.0,289.0,50.0,136.0,130.0,1.0,17
1,0.0,103.0,53.0,40.0,40.0,36.0,28.0,15.0,16.0,0.0,18
0,34.0,193.0,207.0,35.0,12.0,37.0,0.0,16.0,0.0,0.0,19
1,58.0,436.0,283.0,8.0,727.0,222.0,625.0,54.0,691.0,3.0,20
1,29.0,117.0,55.0,36.0,11.0,28.0,39.0,37.0,24.0,0.0,21
1,0.0,192.0,90.0,48.0,7.0,35.0,36.0,52.0,21.0,0.0,22
1,171.0,97.0,112.0,42.0,315.0,203.0,129.0,98.0,0.0,0.0,23
0,1466.0,981.0,3050.0,878.0,997.0,579.0,224.0,38.0,1.0,0.0,24
1,0.0,427.0,160.0,66.0,178.0,169.0,196.0,133.0,207.0,161.0,25
0,36.0,144.0,35.0,14.0,132.0,111.0,53.0,6.0,0.0,0.0,26
1,2.0,53.0,34.0,41.0,3.0,96.0,24.0,4.0,13.0,0.0,27
