,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12,id1,final_result
0,T0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
1,T1,20.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
2,T2,36.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
3,T3,19.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
4,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
5,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
6,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
7,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
8,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
9,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],[0.0]
10,T0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
11,T1,54.0,1.0,4.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
12,T2,41.0,0.0,3.0,53.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
13,T3,393.0,0.0,2.0,83.0,16.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,[1.0],[1.0]
14,T4,540.0,0.0,2.0,210.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
15,T5,99.0,0.0,0.0,67.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,[1.0],[1.0]
16,T6,181.0,0.0,4.0,263.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
17,T7,146.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
18,T8,127.0,0.0,6.0,45.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
19,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1.0],[1.0]
20,T0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
21,T1,86.0,2.0,26.0,52.0,0.0,25.0,8.0,0.0,0.0,0.0,1.0,0.0,[2.0],[0.0]
22,T2,123.0,0.0,71.0,111.0,28.0,66.0,6.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
23,T3,76.0,0.0,54.0,97.0,20.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
24,T4,60.0,0.0,58.0,86.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
25,T5,12.0,0.0,94.0,81.0,14.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
26,T6,0.0,0.0,25.0,22.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
27,T7,19.0,0.0,47.0,47.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
28,T8,60.0,0.0,64.0,55.0,0.0,35.0,10.0,0.0,0.0,0.0,1.0,0.0,[2.0],[0.0]
29,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.0],[0.0]
30,T0,119.0,1.0,44.0,103.0,0.0,35.0,25.0,0.0,0.0,2.0,3.0,0.0,[3.0],[1.0]
31,T1,497.0,0.0,88.0,163.0,0.0,101.0,10.0,0.0,0.0,2.0,0.0,0.0,[3.0],[1.0]
32,T2,714.0,0.0,28.0,248.0,16.0,32.0,3.0,0.0,0.0,1.0,0.0,0.0,[3.0],[1.0]
33,T3,725.0,0.0,33.0,224.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,[3.0],[1.0]
34,T4,311.0,0.0,6.0,123.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,[3.0],[1.0]
35,T5,508.0,0.0,4.0,133.0,27.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,[3.0],[1.0]
36,T6,288.0,0.0,13.0,76.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,[3.0],[1.0]
37,T7,451.0,0.0,9.0,153.0,12.0,21.0,3.0,0.0,0.0,5.0,0.0,0.0,[3.0],[1.0]
38,T8,348.0,0.0,9.0,118.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,[3.0],[1.0]
39,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[3.0],[1.0]
40,T0,7.0,0.0,2.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
41,T1,73.0,0.0,18.0,32.0,2.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,[4.0],[1.0]
42,T2,88.0,0.0,27.0,41.0,14.0,12.0,6.0,0.0,0.0,0.0,25.0,0.0,[4.0],[1.0]
43,T3,75.0,0.0,10.0,37.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
44,T4,3.0,0.0,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
45,T5,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
46,T6,20.0,0.0,16.0,16.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
47,T7,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
48,T8,8.0,0.0,23.0,25.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
49,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[4.0],[1.0]
50,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
51,T1,110.0,0.0,18.0,39.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
52,T2,62.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
53,T3,9.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
54,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
55,T5,2.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
56,T6,14.0,0.0,4.0,8.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
57,T7,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
58,T8,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
59,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[5.0],[0.0]
60,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
61,T1,29.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
62,T2,7.0,0.0,11.0,36.0,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
63,T3,1.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
64,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
65,T5,0.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
66,T6,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
67,T7,0.0,0.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
68,T8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
69,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[6.0],[1.0]
70,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
71,T1,7.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
72,T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
73,T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
74,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
