gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,unique_id
F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,BBB_2013B_23629
F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,BBB_2013B_25107
M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013B_29144
M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,BBB_2013B_31663
F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,BBB_2013B_34229
M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,BBB_2013B_34353
F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013B_34863
F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013B_35812
F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Pass,BBB_2013B_39655
F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,BBB_2013B_50993
F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail,BBB_2013B_58089
F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,BBB_2013B_62631
F,South East Region,HE Qualification,70-80%,35-55,0,240,N,Pass,BBB_2013B_70608
F,North Western Region,A Level or Equivalent,50-60%,0-35,1,150,N,Fail,BBB_2013B_71433
F,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass,BBB_2013B_74695
F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,BBB_2013B_74734
F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,BBB_2013B_75399
F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013B_78645
F,London Region,Lower Than A Level,20-30%,35-55,4,120,Y,Fail,BBB_2013B_79378
F,Wales,Lower Than A Level,20-30%,0-35,0,180,N,Pass,BBB_2013B_82535
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,BBB_2013B_82741
F,London Region,HE Qualification,10-20,35-55,0,60,N,Pass,BBB_2013B_83254
M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,BBB_2013B_84245
F,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013B_84664
M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,75,N,Pass,BBB_2013B_87732
F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013B_91322
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_92832
F,Wales,HE Qualification,10-20,35-55,0,120,N,Pass,BBB_2013B_92947
F,East Anglian Region,Lower Than A Level,10-20,0-35,3,135,N,Pass,BBB_2013B_92993
F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail,BBB_2013B_94616
F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_97154
F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,BBB_2013B_98313
F,South East Region,Lower Than A Level,90-100%,35-55,0,120,N,Pass,BBB_2013B_104054
F,South Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass,BBB_2013B_108377
F,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013B_108589
F,Wales,HE Qualification,60-70%,0-35,0,120,N,Pass,BBB_2013B_109938
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_110881
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,BBB_2013B_116603
M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,BBB_2013B_117071
F,London Region,Lower Than A Level,30-40%,35-55,0,70,Y,Fail,BBB_2013B_120994
F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail,BBB_2013B_122524
F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,BBB_2013B_123860
F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass,BBB_2013B_126322
F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail,BBB_2013B_126411
F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass,BBB_2013B_133155
F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013B_133531
F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail,BBB_2013B_133748
F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,BBB_2013B_142324
F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,BBB_2013B_143741
M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_145544
M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,BBB_2013B_147876
F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,BBB_2013B_151697
M,West Midlands Region,A Level or Equivalent,,0-35,0,60,N,Pass,BBB_2013B_152910
F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013B_152929
F,South West Region,Lower Than A Level,40-50%,35-55,1,120,N,Pass,BBB_2013B_153212
F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,BBB_2013B_154027
F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,BBB_2013B_154125
F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,BBB_2013B_154540
F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013B_156835
F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail,BBB_2013B_161678
M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013B_165243
F,West Midlands Region,Lower Than A Level,60-70%,0-35,2,120,N,Fail,BBB_2013B_171377
F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2013B_173316
F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail,BBB_2013B_173335
F,East Anglian Region,Lower Than A Level,0-10%,35-55,2,120,N,Pass,BBB_2013B_182824
F,South West Region,A Level or Equivalent,80-90%,35-55,1,225,Y,Fail,BBB_2013B_183806
F,Scotland,Lower Than A Level,30-40%,35-55,2,60,N,Pass,BBB_2013B_185349
F,Yorkshire Region,HE Qualification,40-50%,35-55,1,60,N,Fail,BBB_2013B_186670
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,2,60,N,Fail,BBB_2013B_186988
F,North Western Region,Lower Than A Level,10-20,35-55,1,120,Y,Fail,BBB_2013B_187793
M,South East Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,BBB_2013B_188152
